season,flower_sp,pollinator_abundance
Winter,flower_sp1,4
Winter,flower_sp1,2
Winter,flower_sp1,5
Winter,flower_sp1,3
Winter,flower_sp1,6
Winter,flower_sp1,2
Winter,flower_sp1,8
Winter,flower_sp1,6
Winter,flower_sp1,3
Winter,flower_sp1,5
Winter,flower_sp1,1
Winter,flower_sp2,4
Winter,flower_sp2,8
Winter,flower_sp2,14
Winter,flower_sp2,8
Winter,flower_sp2,10
Winter,flower_sp2,3
Winter,flower_sp2,7
Winter,flower_sp2,13
Winter,flower_sp2,6
Winter,flower_sp2,8
Winter,flower_sp2,6
Winter,flower_sp2,8
Winter,flower_sp2,8
Winter,flower_sp2,13
Winter,flower_sp2,5
Winter,flower_sp2,4
Winter,flower_sp2,11
Winter,flower_sp2,12
Winter,flower_sp2,7
Winter,flower_sp2,7
Winter,flower_sp2,11
Winter,flower_sp2,12
Winter,flower_sp2,5
Winter,flower_sp2,16
Winter,flower_sp2,6
Winter,flower_sp2,15
Winter,flower_sp2,14
Winter,flower_sp2,2
Winter,flower_sp2,9
Winter,flower_sp2,10
Winter,flower_sp3,11
Winter,flower_sp3,28
Winter,flower_sp3,13
Winter,flower_sp3,10
Winter,flower_sp3,13
Winter,flower_sp3,28
Winter,flower_sp3,16
Winter,flower_sp3,14
Winter,flower_sp3,19
Winter,flower_sp3,10
Winter,flower_sp3,19
Winter,flower_sp3,21
Winter,flower_sp3,16
Winter,flower_sp3,11
Winter,flower_sp3,17
Winter,flower_sp3,17
Winter,flower_sp3,14
Winter,flower_sp3,16
Winter,flower_sp3,16
Winter,flower_sp3,7
Winter,flower_sp3,12
Winter,flower_sp3,10
Winter,flower_sp3,17
Winter,flower_sp3,10
Winter,flower_sp3,13
Winter,flower_sp3,9
Winter,flower_sp3,22
Winter,flower_sp3,14
Winter,flower_sp3,7
Winter,flower_sp3,11
